Id,SalePrice
1461,124287.79617493546
1462,157017.40937409303
1463,177676.88276022585
1464,180627.7125038212
1465,192071.31346783027
1466,177746.07086129356
1467,170899.04015873023
1468,159994.96104955912
1469,181483.05171097736
1470,121960.62424239087
1471,205595.38701354622
1472,93947.04536254925
1473,97660.67163513995
1474,155235.21963117478
1475,139378.5887662169
1476,415161.5341736445
1477,256457.03946479424
1478,311454.4055316758
1479,276731.34429135727
1480,485166.1083266617
1481,318690.31133809424
1482,213140.9863533638
1483,170227.57544882063
1484,168758.52734247062
1485,183058.8117186741
1486,194917.10936313105
1487,363901.52100479044
1488,246091.71657963382
1489,196943.74929417856
1490,228532.49991254404
1491,191031.06881678206
1492,91004.7713399669
1493,199785.555065587
1494,304084.6753807364
1495,297047.7685599864
1496,224039.17336884857
1497,164211.38259356483
1498,161549.47251339647
1499,165346.8901318585
1500,146747.88113479727
1501,162722.90034042957
1502,157158.80460135944
1503,302144.41127824207
1504,227948.20085559637
1505,214184.8963560749
1506,188089.06418906205
1507,231248.8703239395
1508,189195.0915406932
1509,157322.77475596778
1510,145295.65201210664
1511,141265.18054106497
1512,170637.9361655229
1513,144176.73049844056
1514,183348.04589042408
1515,209113.39514729544
1516,168538.93154790692
1517,154410.22867946638
1518,137443.7002026792
1519,227676.94350709827
1520,134348.40984855685
1521,133837.1200104116
1522,171516.12921359466
1523,107906.57292482731
1524,123560.718870869
1525,122878.99397735929
1526,127700.8662540962
1527,106382.25848364904
1528,142188.37998580837
1529,144647.3897533056
1530,176404.8755975998
1531,105269.79176349672
1532,112163.34025523753
1533,151220.78139402502
1534,122758.05932721066
1535,160222.9020589426
1536,113573.37891548894
1537,85469.31383918737
1538,186675.0231276516
1539,200826.0696182996
1540,88793.95799239185
1541,148300.82468794237
1542,135753.39862923298
1543,227937.26405723288
1544,89799.60804437542
1545,110910.65646762087
1546,129512.84476958634
1547,135803.16620414582
1548,133933.60303220229
1549,110808.96934826409
1550,143280.1575472409
1551,128395.2562878725
1552,132669.42713278206
1553,165448.0238031652
1554,106386.15769693514
1555,169706.31020920124
1556,80488.70084144689
1557,124089.78880526182
1558,91197.44531657557
1559,86720.35089202735
1560,132315.7177035625
1561,138362.49436573783
1562,134158.11935090204
1563,124223.60538436042
1564,159536.50055803583
1565,147236.878064706
1566,223525.98652683082
1567,74016.56342909767
1568,209449.05863073558
1569,126624.33206574585
1570,129251.78312170904
1571,126020.99247533306
1572,150484.29644701164
1573,253679.37588180086
1574,108269.80369172854
1575,223191.18805817567
1576,216825.33572779936
1577,196392.7702080267
1578,150280.90449065855
1579,145810.69979470604
1580,198554.35740870782
1581,153153.36440909334
1582,130690.24440239042
1583,352791.996979491
1584,229260.52975912296
1585,136669.0398371071
1586,89036.99604779787
1587,93948.510288016
1588,143667.37139439068
1589,107021.7190165115
1590,137289.52094772804
1591,97976.11350192422
1592,130409.37192206377
1593,135963.07492203408
1594,115766.85602960545
1595,116206.34800433049
1596,232852.52486333885
1597,175771.19781531717
1598,198719.5872493252
1599,193451.79156885576
1600,187255.94309862226
1601,75928.91132722655
1602,107407.47973928644
1603,88067.34117090168
1604,272703.84085236577
1605,251916.74926413584
1606,161136.6997677654
1607,170632.2361865681
1608,218775.90294758978
1609,193758.8042932148
1610,153279.49101296611
1611,144381.42439660066
1612,167730.73487763925
1613,164442.56696135626
1614,123246.8356231999
1615,84896.4724031012
1616,69305.49150555971
1617,94988.35798642201
1618,128602.16542819772
1619,139389.13477170485
1620,147580.671019704
1621,135997.73179486758
1622,138374.67790525165
1623,302090.1598872929
1624,201028.424546077
1625,132637.87521625718
1626,171981.84797924553
1627,186587.1323394893
1628,281806.4112428191
1629,187370.6183007358
1630,351809.34881131304
1631,226841.57342163517
1632,244097.67913841156
1633,174146.01065481227
1634,181008.70970345504
1635,185480.99004136145
1636,151912.45133866658
1637,181933.52142974353
1638,211225.68190156616
1639,180474.53529311522
1640,260701.23455920516
1641,178342.65266417718
1642,209618.80132696114
1643,215381.53354415615
1644,221200.29436598558
1645,207746.44568839326
1646,154666.70384905502
1647,169163.48562975513
1648,127483.52990137174
1649,139256.9959128884
1650,125082.58552592155
1651,131490.68270200051
1652,101118.83904956368
1653,97784.63027892435
1654,152317.45805225775
1655,161320.87901405344
1656,147936.00491766084
1657,152317.45805225775
1658,145206.83191601624
1659,146302.80761443125
1660,150859.2465459265
1661,461156.3561701029
1662,444140.2499995546
1663,392728.906838449
1664,458243.33051676775
1665,325052.59306135506
1666,321268.86784422165
1667,358578.9889145507
1668,340302.9315289824
1669,302529.167281572
1670,369869.98707162944
1671,254181.40791083983
1672,451514.2962217074
1673,302542.8063565389
1674,252005.87285692783
1675,183219.2045007028
1676,182913.18115213915
1677,223134.55745650726
1678,433092.41242036683
1679,361461.0561237574
1680,322304.80517925747
1681,271587.6405120613
1682,286717.70369054173
1683,178962.36483307974
1684,178881.1356663072
1685,169375.34635754436
1686,175718.76638274544
1687,170034.792215648
1688,183738.31124369937
1689,186038.45146540026
1690,187486.21949464886
1691,180092.26040201102
1692,272787.5503906041
1693,174455.510587032
1694,182185.03516593875
1695,170953.82660130138
1696,282451.6145622901
1697,181547.1350588998
1698,381407.96919466153
1699,342293.32301452226
1700,240014.23027782308
1701,261120.23559435015
1702,274021.112625088
1703,258648.83792810363
1704,316971.38872564683
1705,238673.19213445229
1706,457450.87947848195
1707,208607.05012849777
1708,206578.66298449566
1709,336420.8897868258
1710,223919.3258771238
1711,256906.98697291102
1712,262177.86962476786
1713,266044.9680678569
1714,208335.3529625696
1715,199613.06949276425
1716,199017.43910252638
1717,185497.197470445
1718,142199.4377748877
1719,196740.7133758212
